#creator_id: "https://orcid.org/0000-0001-5705-7831"
#curie_map:
#  CHEBI: "http://purl.obolibrary.org/obo/CHEBI_"
#  CHEMBL.COMPOUND: "https://www.ebi.ac.uk/chembl/compound/inspect/"
#  DRUGBANK: "http://www.drugbank.ca/drugs/"
#  DrugCentral: "https://drugcentral.org/drugcard/"
#  pharmgkb.drug: "http://www.pharmgkb.org/drug/"
#  ttd.drug: "http://bidd.nus.edu.sg/group/TTD/ZFTTDDRUG.asp?ID="
#  skos: "http://www.w3.org/2004/02/skos/core"
#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_provider: "https://unmtid-shinyapps.net/download/drugcentral.dump.010_05_2021.sql.gz"
subject_id	predicate_id	object_id	match_type	subject_label	object_label	comment
CHEBI:28462	skos:exactMatch	DrugCentral:100	Lexical	ajmalan-17alpha,21alpha-diol	ajmaline	https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:32321	skos:exactMatch	DrugCentral:4195	Lexical			https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:3044	skos:exactMatch	DrugCentral:329	Lexical	(2S)-N-benzyl-N-methyl-1-phenylpropan-2-amine	benzphetamine	https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:4464	skos:exactMatch	DrugCentral:4411	Lexical	(3S)-3-(4-chlorophenyl)-N,N-dimethyl-3-pyridin-2-ylpropan-1-amine	dexchlorpheniramine	https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:4740	skos:exactMatch	DrugCentral:3170	Lexical		eburnamonine	https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:36791	skos:exactMatch	DrugCentral:1053	Lexical	(1S)-1-[3-(dimethylamino)propyl]-1-(4-fluorophenyl)-1,3-dihydro-2-benzofuran-5-carbonitrile	escitalopram	https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:6060	skos:exactMatch	DrugCentral:1501	Lexical			https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:4470	skos:exactMatch	DrugCentral:842	Lexical	3-methoxy-17-methyl-9alpha,13alpha,14alpha-morphinan	dextromethorphan	https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:4910	skos:exactMatch	DrugCentral:1109	Lexical	ethyl 1-[(1R)-1-phenylethyl]-1H-imidazole-5-carboxylate	etomidate	https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:439329	skos:exactMatch	DrugCentral:832	Lexical	(2S)-N-ethyl-1-[3-(trifluoromethyl)phenyl]propan-2-amine	dexfenfluramine	https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:27779	skos:exactMatch	DrugCentral:1331	Lexical	(2S,6'R)-7-chloro-2',4,6-trimethoxy-6'-methyl-3H,4'H-spiro[1-benzofuran-2,1'-cyclohex[2]ene]-3,4'-dione	griseofulvin	https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:76128	skos:exactMatch	DrugCentral:833	Lexical	(2S)-2-(3-benzoylphenyl)propanoic acid	dexketoprofen	https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:17716	skos:exactMatch	DrugCentral:1535	Lexical	beta-D-galactopyranosyl-(1->4)-D-glucopyranose	lactose	https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:103932	skos:exactMatch	DrugCentral:837	Lexical		dexniguldipine	https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:4109	skos:exactMatch	DrugCentral:3389	Lexical			https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:27373	skos:exactMatch	DrugCentral:838	Lexical	(2R)-2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide		https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:46905	skos:exactMatch	DrugCentral:2055	Lexical	3-[(2R)-2,4-dihydroxy-3,3-dimethylbutanamido]propanoic acid		https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:8059	skos:exactMatch	DrugCentral:2122	Lexical		phendimetrazine	https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:8207	skos:exactMatch	DrugCentral:2166	Lexical	(3S,4R)-3-ethyl-4-[(1-methyl-1H-imidazol-5-yl)methyl]dihydrofuran-2(3H)-one	pilocarpine	https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:51209	skos:exactMatch	DrugCentral:2326	Lexical	(1S,2S)-2-(methylamino)-1-phenylpropan-1-ol	pseudoephedrine	https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:9622	skos:exactMatch	DrugCentral:2705	Lexical	2-[(1R)-3-(diisopropylamino)-1-phenylpropyl]-4-methylphenol	tolterodine	https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:28445	skos:exactMatch	DrugCentral:2825	Lexical	22-oxovincaleukoblastine	vincristine	https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:135387	skos:exactMatch	DrugCentral:3651	Lexical		vorozole	https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:15936	skos:exactMatch	DrugCentral:2854	Lexical	D-xylo-pentose		https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:31166	skos:exactMatch	DrugCentral:72	Lexical			https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:135075	skos:exactMatch	DrugCentral:132	Lexical			https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:134994	skos:exactMatch	DrugCentral:155	Lexical		amidefrine	https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:31311	skos:exactMatch	DrugCentral:413	Lexical			https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
CHEBI:34593	skos:exactMatch	DrugCentral:424	Lexical		bufuralol	https://ftp.ebi.ac.uk/pub/databases/chebi/Flat_file_tab_delimited/names.tsv.gz
